victim_id,numeric_id,value_numeric
73,1,2000-02-18
73,2,93711
73,3,36.8299658
73,4,-119.8511558
74,1,2000-02-19
74,2,95448
74,3,38.6104658
74,4,-122.8691609
75,1,2000-02-19
75,2,92630
75,3,33.639381
75,4,-117.6796065
76,1,2000-02-20
76,2,84041
76,3,41.0616031
76,4,-111.9453025
77,1,2000-02-21
77,2,33161
77,3,25.8859021
77,4,-80.1820571
78,1,2000-02-21
78,2,92101
78,3,32.7186511
78,4,-117.1578753
79,1,2000-02-23
79,2,63113
79,3,38.6560148
79,4,-90.2396068
80,1,2000-02-24
80,2,33756
80,3,27.9655835
80,4,-82.7876565
81,1,2000-02-26
81,2,90021
81,3,34.0370853
81,4,-118.248733
82,1,2000-02-27
82,2,63133
82,3,38.6731874
82,4,-90.3122513
83,1,2000-02-28
83,2,73129
83,3,35.4314766
83,4,-97.4769314
84,1,2000-02-28
84,2,94015
84,3,37.6706214
84,4,-122.485172
85,1,2000-02-29
85,2,60653
85,3,41.8126818
85,4,-87.622927
86,1,2000-02-29
86,2,92129
86,3,32.955881
86,4,-117.1298553
87,1,2000-03-01
87,2,66434
87,3,39.8525033
87,4,-95.5358156
88,1,2000-03-01
88,2,68128
88,3,41.1762668
88,4,-96.0235745
89,1,2000-03-01
89,2,68128
89,3,41.1762668
89,4,-96.0235745
90,1,2000-03-01
90,2,10472
90,3,40.825276
90,4,-73.877713
91,1,2000-03-01
91,2,10031
91,3,40.8284707
91,4,-73.9476522
92,1,2000-03-02
92,2,29349
92,3,35.047741
92,4,-82.106044
93,1,2000-03-04
93,2,95111
93,3,37.2818031
93,4,-121.8279775
94,1,2000-03-05
94,2,68883
94,3,40.8878066
94,4,-98.6078656
95,1,2000-03-05
95,2,77055
95,3,29.7992955
95,4,-95.5172061
96,1,2000-03-06
96,2,95409
96,3,38.4518593
96,4,-122.6191245
97,1,2000-03-07
97,2,29323
97,3,35.156905
97,4,-81.853404
98,1,2000-03-09
98,2,31554
98,3,31.5174219
98,4,-82.6348602
99,1,2000-03-09
99,2,35127
99,3,33.50379
99,4,-86.973961
100,1,2000-03-12
100,2,63385
100,3,38.8144747
100,4,-90.8737874
101,1,2000-03-12
101,2,63301
101,3,38.7695936
101,4,-90.4899216
102,1,2000-03-13
102,2,43215
102,3,39.9622212
102,4,-83.0006428
103,1,2000-03-13
103,2,87301
103,3,35.5293676
103,4,-108.7090367
104,1,2000-03-13
104,2,87301
104,3,35.5293676
104,4,-108.7090367
105,1,2000-03-13
105,2,87301
105,3,35.5293676
105,4,-108.7090367
106,1,2021-01-06
106,2,38127
106,3,35.2173267
106,4,-89.9960211
107,1,2000-03-14
107,2,45229
107,3,39.1401874
107,4,-84.4936052
108,1,2000-03-15
108,2,64127
108,3,39.0941639
108,4,-94.5245676
109,1,2000-03-15
109,2,92405
109,3,34.1313887
109,4,-117.3008823
110,1,2000-03-16
110,2,10018
110,3,40.754091
110,4,-73.992079
111,1,2000-03-16
111,2,60613
111,3,41.948123
111,4,-87.655531
112,1,2000-03-17
112,2,70117
112,3,29.9673644
112,4,-90.0424063
113,1,2000-03-18
113,2,74955
113,3,35.4603711
113,4,-94.7874463
114,1,2000-03-18
114,2,92055
114,3,33.3178416
114,4,-117.3205123
115,1,2000-03-19
115,2,95407
115,3,38.4006069
115,4,-122.7138386
116,1,2000-03-21
116,2,73015
116,3,35.1036699
116,4,-98.6036735
117,1,2000-03-21
117,2,21224
117,3,39.2862886
117,4,-76.5089608
118,1,2000-03-22
118,2,77504
118,3,29.6635277
118,4,-95.1961638
119,1,2000-03-22
119,2,80220
119,3,39.7383026
119,4,-104.9315471
120,1,2000-03-23
120,2,29697
120,3,34.6181701
120,4,-82.4964158
121,1,2000-03-23
121,2,29627
121,3,34.5407853
121,4,-82.5201535
122,1,2000-03-23
122,2,82510
122,3,42.9828765
122,4,-108.6210621
123,1,2000-03-23
123,2,94621
123,3,37.7620801
123,4,-122.1828789
124,1,2000-03-24
124,2,78214
124,3,29.373446
124,4,-98.4815722
125,1,2000-03-24
125,2,39577
125,3,30.858972
125,4,-89.1877106
126,1,2000-03-24
126,2,39577
126,3,30.858972
126,4,-89.1877106
127,1,2000-03-25
127,2,44047
127,3,41.7386662
127,4,-80.7698066
128,1,2000-03-26
128,2,44707
128,3,40.7891107
128,4,-81.3733078
129,1,2000-03-26
129,2,44708
129,3,40.7891107
129,4,-81.3733078
130,1,2000-03-26
130,2,44709
130,3,40.7891107
130,4,-81.3733078
131,1,2000-03-29
131,2,61528
131,3,40.7454317
131,4,-89.7492413
132,1,2000-03-29
132,2,95948
132,3,39.3680032
132,4,-121.6989457
133,1,2000-03-30
133,2,32209
133,3,30.3647826
133,4,-81.6697402
134,1,2000-03-31
134,2,78702
134,3,30.2746126
134,4,-97.721093
135,1,2000-03-31
135,2,35672
135,3,34.5888667
135,4,-87.4243925
136,1,2000-03-31
136,2,11207
136,3,40.6842918
136,4,-73.9104717
137,1,2000-03-31
137,2,11207
137,3,40.6842918
137,4,-73.9104717
138,1,2000-03-31
138,2,84104
138,3,40.7520053
138,4,-111.919263
139,1,2000-03-31
139,2,90011
139,3,34.0171944
139,4,-118.2691859
140,1,2000-04-03
140,2,44278
140,3,41.1008678
140,4,-81.4412256
141,1,2000-04-03
141,2,90032
141,3,34.0874487
141,4,-118.1704436
142,1,2000-04-04
142,2,31061
142,3,33.1032923
142,4,-83.248864
143,1,2000-04-04
143,2,90806
143,3,33.8106783
143,4,-118.1511281
144,1,2000-04-05
144,2,95818
144,3,38.567156
144,4,-121.495906
145,1,2000-04-06
145,2,94607
145,3,37.8225506
145,4,-122.3147392
146,1,2000-04-06
146,2,95380
146,3,37.4906728
146,4,-120.9035684
147,1,2000-04-07
147,2,30318
147,3,33.7712906
147,4,-84.4339595
148,1,2000-04-08
148,2,5261
148,3,42.7683193
148,4,-73.2416476
149,1,2000-04-08
149,2,39501
149,3,30.3992449
149,4,-89.0928954
150,1,2000-04-08
150,2,91361
150,3,34.1565944
150,4,-118.832224
151,1,2000-04-08
151,2,72055
151,3,34.118236
151,4,-91.378015
152,1,2000-04-09
152,2,80910
152,3,38.831744
152,4,-104.7771513
153,1,2000-04-09
153,2,37421
153,3,35.0245577
153,4,-85.1974261
154,1,2000-04-10
154,2,95492
154,3,38.5448672
154,4,-122.8040954
155,1,2000-04-10
155,2,92704
155,3,33.7272402
155,4,-117.9001445
156,1,2000-04-10
156,2,85296
156,3,33.3356142
156,4,-111.7555851
157,1,2000-04-12
157,2,11201
157,3,40.6891593
157,4,-73.9820324
158,1,2000-04-12
158,2,98121
158,3,47.6185683
158,4,-122.3464095
159,1,2000-04-12
159,2,94703
159,3,37.86807
159,4,-122.2783559
160,1,2000-04-13
160,2,92262
160,3,33.8423341
160,4,-116.5281682
161,1,2000-04-15
161,2,64024
161,3,39.3222503
161,4,-94.2406995
162,1,2000-04-16
162,2,79336
162,3,33.5734067
162,4,-102.377422
163,1,2000-04-17
163,2,30134
163,3,33.7599399
163,4,-84.7236496
164,1,2000-04-17
164,2,64129
164,3,39.0006879
164,4,-94.58283
165,1,2000-04-17
165,2,29033
165,3,33.9557774
165,4,-81.058906
166,1,2000-04-18
166,2,99503
166,3,61.1957888
166,4,-149.8857397
167,1,2000-04-18
167,2,45239
167,3,39.2132252
167,4,-84.5993801
168,1,2000-04-19
168,2,77017
168,3,29.6947344
168,4,-95.288615
169,1,2000-04-20
169,2,71742
169,3,33.8076842
169,4,-92.4075162
170,1,2000-04-21
170,2,62707
170,3,39.840892
170,4,-89.5940271
171,1,2000-04-22
171,2,11373
171,3,40.731252
171,4,-73.8905209
172,1,2000-04-23
172,2,85008
172,3,33.460166
172,4,-112.0258947
173,1,2000-04-24
173,2,79107
173,3,35.2179985
173,4,-101.8427239
174,1,2000-04-25
174,2,63147
174,3,38.7134398
174,4,-90.2547683
175,1,2000-04-26
175,2,98168
175,3,47.4974486
175,4,-122.2999705
176,1,2000-04-26
176,2,94965
176,3,37.8328212
176,4,-122.4812529
177,1,2000-04-26
177,2,90262
177,3,33.9369666
177,4,-118.2137117
178,1,2000-04-26
178,2,90043
178,3,34.0009874
178,4,-118.3330237
179,1,2000-04-28
179,2,90806
179,3,33.789539
179,4,-118.197277
180,1,2000-04-28
180,2,30144
180,3,33.9965309
180,4,-84.577992
181,1,2000-04-28
181,2,29645
181,3,34.6080464
181,4,-82.1136565
182,1,2000-04-28
182,2,29585
182,3,33.4748258
182,4,-79.1099413
183,1,2000-04-28
183,2,29645
183,3,34.6080464
183,4,-82.1136565
184,1,2000-04-29
184,2,38635
184,3,34.7755801
184,4,-89.507206
185,1,2000-04-29
185,2,87401
185,3,36.7224024
185,4,-108.2215247
186,1,2000-04-30
186,2,33612
186,3,28.0362463
186,4,-82.4346216
187,1,2000-04-30
187,2,33612
187,3,28.0362463
187,4,-82.4346216
188,1,2000-04-30
188,2,90806
188,3,33.7926582
188,4,-118.1841472
189,1,2000-04-30
189,2,80211
189,3,39.752968
189,4,-105.030314
190,1,2000-05-01
190,2,95205
190,3,37.9604903
190,4,-121.2513973
191,1,2000-05-02
191,2,91411
191,3,34.182648
191,4,-118.4487327
192,1,2000-05-03
192,2,60655
192,3,41.682697
192,4,-87.6820915
193,1,2000-05-04
193,2,33170
193,3,25.5625644
193,4,-80.3852074
194,1,2000-05-04
194,2,95404
194,3,38.4548933
194,4,-122.7140073
195,1,2000-05-04
195,2,94501
195,3,37.7642723
195,4,-122.2675352
196,1,2000-05-04
196,2,94928
196,3,38.3493195
196,4,-122.7286541
197,1,2000-05-04
197,2,94521
197,3,37.9731659
197,4,-121.9683271
198,1,2000-05-04
198,2,94521
198,3,37.9731659
198,4,-121.9683271
199,1,2000-05-04
199,2,65066
199,3,38.3501456
199,4,-91.4973801
200,1,2000-05-06
200,2,70748
200,3,30.8374036
200,4,-91.2176087
201,1,2000-05-06
201,2,4330
201,3,44.3122903
201,4,-69.7864904
202,1,2000-05-06
202,2,80012
202,3,39.7112538
202,4,-104.8470999
203,1,2000-05-07
203,2,34950
203,3,27.4488326
203,4,-80.3356866
204,1,2000-05-09
204,2,35967
204,3,34.4506442
204,4,-85.7353079
205,1,2000-05-10
205,2,92509
205,3,34.0243273
205,4,-117.425389
206,1,2000-05-10
206,2,92315
206,3,34.2598569
206,4,-116.8665897
207,1,2000-05-11
207,2,31217
207,3,32.8538908
207,4,-83.6061314
208,1,2000-05-11
208,2,68840
208,3,40.7493637
208,4,-98.846579
209,1,2000-05-12
209,2,NULL
